
[32;1mTitle                                                                            Link                                                                                                                                                  PubDate[0m
[32;1m-----                                                                            ----                                                                                                                                                  -------[0m
Arcane Code                                                                      https://arcanecode.com                                                                                                                                Tue, 08 Ma…
VSCode User Snippets for PowerShell and MarkDown                                 https://arcanecode.com/2020/09/29/vscode-user-snippets-for-powershell-and-markdown/                                                                   Tue, 29 Se…
Two New PowerShell Courses for Developers on Pluralsight                         https://arcanecode.com/2020/12/05/two-new-powershell-courses-for-developers-on-pluralsight/                                                           Sat, 05 De…
Iterate Over A Hashtable in PowerShell                                           https://arcanecode.com/2020/12/14/iterate-over-a-hashtable-in-powershell/                                                                             Mon, 14 De…
Fixing the Failed To Acquire Token Error When Logging Into Azure from PowerShell https://arcanecode.com/2020/12/21/fixing-the-failed-to-acquire-token-error-when-logging-into-azure-from-powershell/                                   Mon, 21 De…
Suppress Write-Verbose When Calling A function in PowerShell                     https://arcanecode.com/2021/01/04/suppress-write-verbose-when-calling-a-function-in-powershell/                                                       Mon, 04 Ja…
Exclude A File From Git Source Code Control in VSCode                            https://arcanecode.com/2021/01/11/exclude-a-file-from-git-source-code-control-in-vscode/                                                              Mon, 11 Ja…
Fun with PowerShell Get-Random                                                   https://arcanecode.com/2021/07/05/fun-with-powershell-get-random/                                                                                     Mon, 05 Ju…
get-random-image                                                                 https://arcanecode.com/2021/07/05/fun-with-powershell-get-random/get-random-image/                                                                    Mon, 05 Ju…
Fun With PowerShell Strings                                                      https://arcanecode.com/2021/07/12/fun-with-powershell-strings/                                                                                        Mon, 12 Ju…
fun-with-powershell-strings                                                      https://arcanecode.com/2021/07/12/fun-with-powershell-strings/fun-with-powershell-strings/                                                            Wed, 07 Ju…
fun-with-powershell-strings                                                      https://arcanecode.com/2021/07/12/fun-with-powershell-strings/fun-with-powershell-strings-2/                                                          Wed, 07 Ju…
Fun With PowerShell Arrays                                                       https://arcanecode.com/2021/07/26/fun-with-powershell-arrays/                                                                                         Mon, 26 Ju…
fun-with-powershell-arrays                                                       https://arcanecode.com/2021/07/26/fun-with-powershell-arrays/fun-with-powershell-arrays/                                                              Fri, 09 Ju…
Fun With PowerShell Hash Tables                                                  https://arcanecode.com/2021/08/02/fun-with-powershell-hash-tables/                                                                                    Mon, 02 Au…
fun-with-powershell-hash-tables                                                  https://arcanecode.com/2021/08/02/fun-with-powershell-hash-tables/fun-with-powershell-hash-tables/                                                    Sat, 10 Ju…
Fun With PowerShell Logic Branching                                              https://arcanecode.com/2021/08/09/fun-with-powershell-logic-branching/                                                                                Mon, 09 Au…
Fun With PowerShell Code Formatting                                              https://arcanecode.com/2021/08/16/fun-with-powershell-code-formatting/                                                                                Mon, 16 Au…
fun-with-powershell-logic-branching                                              https://arcanecode.com/2021/08/09/fun-with-powershell-logic-branching/fun-with-powershell-logic-branching/                                            Mon, 12 Ju…
fun-with-powershell-logic-branching                                              https://arcanecode.com/2021/08/09/fun-with-powershell-logic-branching/fun-with-powershell-logic-branching-2/                                          Mon, 12 Ju…
fun-with-powershell-code-formatting                                              https://arcanecode.com/2021/08/16/fun-with-powershell-code-formatting/fun-with-powershell-code-formatting/                                            Mon, 12 Ju…
fun-with-powershell-code-formatting                                              https://arcanecode.com/2021/08/16/fun-with-powershell-code-formatting/fun-with-powershell-code-formatting-2/                                          Mon, 12 Ju…
Fun with PowerShell Loops                                                        https://arcanecode.com/2021/08/23/fun-with-powershell-loops/                                                                                          Mon, 23 Au…
fun-with-powershell-loops                                                        https://arcanecode.com/2021/08/23/fun-with-powershell-loops/fun-with-powershell-loops/                                                                Thu, 15 Ju…
fun-with-powershell-loops                                                        https://arcanecode.com/2021/08/23/fun-with-powershell-loops/fun-with-powershell-loops-2/                                                              Thu, 15 Ju…
Fun With PowerShell String Formatting                                            https://arcanecode.com/2021/07/19/fun-with-powershell-string-formatting/                                                                              Mon, 19 Ju…
fun-with-powershell-string-formatting                                            https://arcanecode.com/2021/07/19/fun-with-powershell-string-formatting/fun-with-powershell-string-formatting/                                        Mon, 19 Ju…
Fun With PowerShell Basic Functions                                              https://arcanecode.com/2021/08/30/fun-with-powershell-basic-functions/                                                                                Mon, 30 Au…
fun-with-powershell-basic-functions-02                                           https://arcanecode.com/2021/08/30/fun-with-powershell-basic-functions/fun-with-powershell-basic-functions-02/                                         Mon, 19 Ju…
Fun With PowerShell Advanced Functions                                           https://arcanecode.com/2021/09/06/fun-with-powershell-advanced-functions/                                                                             Mon, 06 Se…
fun-with-powershell-advanced-functions                                           https://arcanecode.com/2021/09/06/fun-with-powershell-advanced-functions/fun-with-powershell-advanced-functions/                                      Wed, 21 Ju…
Fun With PowerShell Pipelined Functions                                          https://arcanecode.com/2021/09/13/fun-with-powershell-pipelined-functions/                                                                            Mon, 13 Se…
fun-with-powershell-switch-parameter-01                                          https://arcanecode.com/2021/09/20/fun-with-the-powershell-switch-parameter/fun-with-powershell-switch-parameter-01/                                   Thu, 22 Ju…
Fun With the PowerShell Switch Parameter                                         https://arcanecode.com/2021/09/20/fun-with-the-powershell-switch-parameter/                                                                           Mon, 20 Se…
Fun With PowerShell Write-Verbose                                                https://arcanecode.com/2021/09/27/fun-with-powershell-write-verbose/                                                                                  Mon, 27 Se…
fun-with-powershell-write-verbose-01                                             https://arcanecode.com/2021/09/27/fun-with-powershell-write-verbose/fun-with-powershell-write-verbose-01/                                             Thu, 19 Au…
Fun With PowerShell Write-Debug                                                  https://arcanecode.com/2021/10/04/fun-with-powershell-write-debug/                                                                                    Mon, 04 Oc…
fun-with-powershell-write-debug                                                  https://arcanecode.com/2021/10/04/fun-with-powershell-write-debug/fun-with-powershell-write-debug/                                                    Fri, 20 Au…
Fun With VSCode Snippets for Markdown and PowerShell                             https://arcanecode.com/2021/10/11/fun-with-vscode-snippets-for-markdown-and-powershell/                                                               Mon, 11 Oc…
fun-with-vscode-code-snippets                                                    https://arcanecode.com/2021/10/11/fun-with-vscode-snippets-for-markdown-and-powershell/fun-with-vscode-code-snippets/                                 Fri, 20 Au…
Fun With PowerShell Providers                                                    https://arcanecode.com/2021/10/18/fun-with-powershell-providers/                                                                                      Mon, 18 Oc…
Fun with PowerShell Enums                                                        https://arcanecode.com/2021/11/15/fun-with-powershell-enums/                                                                                          Mon, 15 No…
fun-with-powershell-enums-03-header                                              https://arcanecode.com/2021/11/15/fun-with-powershell-enums/fun-with-powershell-enums-03-header/                                                      Mon, 15 No…
fun-with-powershell-enums-03-header                                              https://arcanecode.com/2021/11/15/fun-with-powershell-enums/fun-with-powershell-enums-03-header-2/                                                    Mon, 15 No…
More Fun with PowerShell Enums                                                   https://arcanecode.com/2021/11/29/more-fun-with-powershell-enums/                                                                                     Mon, 29 No…
more-fun-with-powershell-enums-header                                            https://arcanecode.com/2021/11/29/more-fun-with-powershell-enums/more-fun-with-powershell-enums-header/                                               Sat, 27 No…
more-fun-with-powershell-enums-header                                            https://arcanecode.com/2021/11/29/more-fun-with-powershell-enums/more-fun-with-powershell-enums-header-2/                                             Sat, 27 No…
more-fun-with-powershell-enums-header                                            https://arcanecode.com/2021/11/29/more-fun-with-powershell-enums/more-fun-with-powershell-enums-header-3/                                             Sat, 27 No…
Fun with PowerShell Enum Flags                                                   https://arcanecode.com/2021/12/06/fun-with-powershell-enum-flags/                                                                                     Mon, 06 De…
Fun With PowerShell Classes - The Basics                                         https://arcanecode.com/2021/12/14/fun-with-powershell-classes-the-basics/                                                                             Tue, 14 De…
fun-with-powershell-classes-the-basics-header                                    https://arcanecode.com/2021/12/14/fun-with-powershell-classes-the-basics/fun-with-powershell-classes-the-basics-header/                               Mon, 13 De…
Fun With PowerShell Objects - PSCustomObject                                     https://arcanecode.com/2022/01/10/fun-with-powershell-objects-pscustomobject/                                                                         Mon, 10 Ja…
Fun-With-PowerShell-Objects-01-PSCustomObject                                    https://arcanecode.com/2022/01/10/fun-with-powershell-objects-pscustomobject/fun-with-powershell-objects-01-pscustomobject/                           Mon, 10 Ja…
Fun With PowerShell Objects - Adding Methods to PSCustomObject                   https://arcanecode.com/2022/01/17/fun-with-powershell-objects-adding-methods-to-pscustomobject/                                                       Mon, 17 Ja…
Fun-With-PowerShell-Objects-02-PSCustomObject-Methods                            https://arcanecode.com/2022/01/17/fun-with-powershell-objects-adding-methods-to-pscustomobject/fun-with-powershell-objects-02-pscustomobject-methods/ Mon, 10 Ja…
Fun With PowerShell Objects - Creating Objects from C#                           https://arcanecode.com/2022/01/24/fun-with-powershell-objects-creating-objects-from-c/                                                                Mon, 24 Ja…
Fun-With-PowerShell-Objects-03-Custom-Objects-From-CSharp                        https://arcanecode.com/2022/01/24/fun-with-powershell-objects-creating-objects-from-c/fun-with-powershell-objects-03-custom-objects-from-csharp/      Mon, 10 Ja…
Fun With PowerShell Objects - Modifying Existing Objects                         https://arcanecode.com/2022/01/31/fun-with-powershell-objects-modifying-existing-objects/                                                             Mon, 31 Ja…
Fun-With-PowerShell-Objects-04-Modifying-Existing-Objects                        https://arcanecode.com/2022/01/31/fun-with-powershell-objects-modifying-existing-objects/fun-with-powershell-objects-04-modifying-existing-objects/   Mon, 10 Ja…
Fun With PowerShell Classes - Static Properties and Methods                      https://arcanecode.com/2022/02/07/fun-with-powershell-classes-static-properties-and-methods/                                                          Mon, 07 Fe…
fun-with-powershell-classes-02-static                                            https://arcanecode.com/2022/02/07/fun-with-powershell-classes-static-properties-and-methods/fun-with-powershell-classes-02-static/                    Tue, 11 Ja…
Fun With PowerShell Classes - Overloading                                        https://arcanecode.com/2022/02/14/fun-with-powershell-classes-overloading/                                                                            Mon, 14 Fe…
fun-with-powershell-classes-03-overload                                          https://arcanecode.com/2022/02/14/fun-with-powershell-classes-overloading/fun-with-powershell-classes-03-overload/                                    Tue, 11 Ja…
Fun With PowerShell Classes - Constructors                                       https://arcanecode.com/2022/02/21/fun-with-powershell-classes-constructors/                                                                           Mon, 21 Fe…
fun-with-powershell-classes-04-constructor                                       https://arcanecode.com/2022/02/21/fun-with-powershell-classes-constructors/fun-with-powershell-classes-04-constructor/                                Wed, 12 Ja…

